Area,Mean,Min,Max,ID,Diameter (mm),Comments,Date measurement (mm/dd/yy),was open at punching?
0.34,97.846,60,208,M81_R,0.66,,2/12/24,
4.30,135.684,55,166,E304_L,2.34,Open,2/12/24,
2.57,142.247,70,196,B131_L,1.81,,2/12/24,
4.07,151.976,71,187,B131_R,2.28,Open,2/12/24,
4.29,139.442,61,173,E305_L,2.34,Open,2/12/24,
3.81,153.702,75,185,B132_L,2.20,Open,2/12/24,
2.49,151.59,89,187,B132_R,1.78,,2/12/24,
5.15,135.113,58,173,E306_L,2.56,Open,2/12/24,
4.24,132.423,41,195,B133_L,2.32,Open,2/12/24,
2.23,134.824,68,174,B133_R,1.69,,2/12/24,
4.22,137.929,72,195,E307_L,2.32,Open,2/12/24,
3.47,77.512,44,226,M83_L,2.10,Open,2/12/24,
0.76,115.198,51,184,M83_R,0.99,,2/12/24,
1.53,133.768,72,180,E308_L,1.39,,2/12/24,
4.33,90.091,30,221,M84_L,2.35,Open,2/12/24,
0.79,93.483,49,228,M84_R,1.00,,2/12/24,
2.77,130.656,71,194,E309_L,1.88,,2/12/24,
2.43,139.94,79,227,B135_L,1.76,,2/12/24,
1.94,133.551,72,183,B135_R,1.57,,2/12/24,
2.43,131.006,75,186,E310_L,1.76,,2/12/24,
1.96,134.849,74,174,B142_L,1.58,,2/12/24,
1.88,138.553,77,183,B142_R,1.55,,2/12/24,
2.51,145.835,93,223,E311_L,1.79,,2/12/24,
1.80,133.541,76,180,B143_L,1.51,,2/12/24,
1.49,136.367,79,184,B143_R,1.38,,2/12/24,
1.73,132.686,79,192,E312_L,1.48,,2/12/24,
0.84,99.366,43,207,M86_L,1.03,,2/12/24,
0.71,119.394,45,211,M86_R,0.95,,2/12/24,
1.56,126.894,75,176,E313_L,1.41,,2/12/24,
0.87,100.194,51,206,M87_L,1.05,,2/12/24,
0.49,101.127,40,194,M87_R,0.79,,2/12/24,
2.37,126.543,65,194,E314_L,1.74,,2/12/24,
0.75,92.959,39,222,M88_L,0.98,,2/12/24,
0.45,89.794,32,189,M88_R,0.76,,2/12/24,
2.26,133.862,75,177,E315_L,1.70,,2/12/24,
1.76,139.935,89,190,D78_L,1.50,,2/12/24,
1.27,144.816,100,211,D78_R,1.27,,2/12/24,
2.66,142.571,68,204,E316_L,1.84,,2/12/24,
2.29,154.88,93,203,D79_L,1.71,,2/12/24,
1.74,146.491,90,189,D79_R,1.49,,2/12/24,
2.31,146.658,75,193,E333_L,1.72,,3/15/24,
1.00,145.309,99,196,D84_L,1.13,,3/15/24,
1.13,141.962,87,188,D84_R,1.20,,3/15/24,
0.79,146.759,97,210,E324_L,1.00,,3/15/24,
0.28,115.294,53,192,M93_L,0.60,,3/15/24,
0.52,115.847,57,192,M93_R,0.82,,3/15/24,
0.82,137.485,67,180,E325_L,1.02,,3/15/24,
0.62,112.992,64,187,M94_L,0.89,Open,3/15/24,
0.63,106.475,60,179,M94_R,0.90,,3/15/24,
1.08,138.579,75,197,E326_L,1.17,,3/15/24,
0.46,89.592,48,161,M98_L,0.76,,3/15/24,
0.26,109.304,43,228,M98_R,0.57,,3/15/24,
1.57,137.757,71,178,E327_L,1.41,,3/15/24,
1.83,159.402,104,202,D83_L,1.53,,3/15/24,
1.37,161.25,115,206,D83_R,1.32,,3/15/24,
1.42,147.939,73,193,E328_L,1.34,,3/15/24,
1.48,158.107,102,205,D89_L,1.37,,3/15/24,
1.50,144.742,89,185,D89_R,1.38,,3/15/24,
1.72,150.399,79,190,E329_L,1.48,,3/15/24,
1.59,152.848,94,213,D90_L,1.42,,3/15/24,
0.89,162.053,102,213,D90_R,1.07,,3/15/24,
1.83,134.334,74,168,E330_L,1.53,,3/15/24,
1.17,143.296,83,176,D91_L,1.22,,3/15/24,
1.36,158.518,102,197,D91_R,1.31,,3/15/24,
1.18,152.676,107,204,E331_L,1.23,,3/15/24,
1.82,142.744,92,220,B147_L,1.52,,3/15/24,
1.34,145.159,87,195,B147_R,1.31,,3/15/24,
1.39,143.799,88,209,E337_L,1.33,,3/15/24,
1.74,136.251,73,179,B148_L,1.49,,3/15/24,
1.52,139.822,72,180,B148_R,1.39,,3/15/24,
0.85,132.248,67,185,E339_L,1.04,,3/15/24,
1.30,140.328,67,181,C68_L,1.29,,3/15/24,
0.63,135.625,77,179,C68_R,0.90,,3/15/24,
0.63,135.625,77,179,E340_L,0.90,,3/15/24,
0.82,129.393,67,182,C69_L,1.02,,3/15/24,
0.76,157.128,79,212,C69_R,0.98,,3/15/24,
2.14,138.961,78,168,E341_L,1.65,,4/19/24,
2.53,135.342,56,161,C71_L,1.79,Open,4/19/24,
0.59,124.398,84,173,C71_R,0.87,,4/19/24,
2.11,134.037,73,168,E342_L,1.64,,4/19/24,
1.50,127.192,59,164,C70_L,1.38,Open,4/19/24,
0.60,113.673,70,167,C70_R,0.88,,4/19/24,
2.14,140.599,76,186,E343_L,1.65,,4/19/24,
1.66,134.786,60,162,C72_L,1.46,Open,4/19/24,
0.69,121.518,64,160,C72_R,0.94,,4/19/24,
2.10,138.498,64,182,E345_L,1.63,,4/19/24,
3.02,137.656,67,177,D93_L,1.96,,4/19/24,
3.52,132.338,70,170,D93_R,2.12,,4/19/24,
1.99,134.006,64,176,E346_L,1.59,,4/19/24,
2.55,138.718,72,186,D94_L,1.80,,4/19/24,
3.22,135.514,65,171,D94_R,2.03,,4/19/24,
2.25,131.357,69,171,E348_L,1.69,,4/19/24,
2.00,78.509,26,208,M103_L,1.60,Open,4/19/24,
1.34,84.406,36,224,M103_R,1.31,,4/19/24,
2.14,134.673,73,185,E349_L,1.65,,4/19/24,
1.39,120.379,67,192,C73_L,1.33,,4/19/24,
0.58,115.826,55,167,C73_R,0.86,,4/19/24,
1.35,130.08,92,169,E350_L,1.31,,4/19/24,
0.87,102.933,46,172,M104_L,1.05,,4/19/24,
0.64,90.451,25,172,M104_R,0.90,,4/19/24,
1.18,120.084,68,167,E351_L,1.23,,4/19/24,
1.61,72.81,29,225,M105_L,1.43,,4/19/24,
1.69,81.388,29,209,M105_R,1.47,,4/19/24,
1.52,126.765,71,177,E352_L,1.39,,4/19/24,
0.78,103.332,60,191,M106_L,1.00,,5/29/24,
1.27,94.368,48,179,M106_R,1.27,,4/19/24,
2.73,131.909,67,168,E365_L,1.86,,4/19/24,
0.76,103.312,44,175,M116_L,0.98,,4/19/24,
1.24,84.346,40,196,M116_R,1.26,,4/19/24,
2.22,136.93,73,186,E353_L,1.68,,4/19/24,
2.69,142.557,92,181,D98_L,1.85,,4/19/24,
2.15,143.001,76,185,D98_R,1.66,,4/19/24,
2.88,130.736,71,174,E355_L,1.92,,4/19/24,
2.69,144.39,93,205,D100_L,1.85,,4/19/24,
2.77,139.704,75,184,D100_R,1.88,,4/19/24,
2.27,129.426,76,167,E356_L,1.70,,4/23/24,
1.82,77.967,26,235,M109_L,1.52,,4/23/24,
0.73,100.033,36,207,M109_R,0.97,,4/23/24,
3.57,137.757,68,178,E361_L,2.13,,4/23/24,
1.21,139.511,91,174,D103_L,1.24,,4/23/24,
1.65,140.798,100,182,D103_R,1.45,,4/23/24,
1.08,130.083,71,187,E362_L,1.17,,4/23/24,
1.13,84.549,30,211,M114_L,1.20,,4/23/24,
1.55,87.309,41,222,M114_R,1.40,Open,4/23/24,
2.73,140.851,75,185,E368_L,1.86,,4/23/24,
2.41,136.852,84,178,D104_L,1.75,,4/23/24,
2.29,140.37,95,175,D104_R,1.71,,4/23/24,
1.22,126.279,75,153,E377_L,1.25,,4/23/24,
0.61,81.21,45,218,M122_L,0.88,Open,4/23/24,
1.13,86.396,37,213,M122_R,1.20,,4/23/24,
1.00,120.257,58,164,E379_L,1.13,,4/23/24,
1.37,91.532,46,169,M124_L,1.32,,4/23/24,
0.95,94.075,51,156,M124_R,1.10,,4/23/24,
1.35,155.276,88,207,E380_L,1.31,,4/23/24,
1.51,98.533,52,239,M125_L,1.39,,4/23/24,
1.33,94.29,47,200,M125_R,1.30,,4/23/24,
2.13,154.319,82,187,E373_L,1.65,,4/23/24,
0.87,130.453,79,178,C74_L,1.05,,4/23/24,
0.67,146.714,102,187,C74_R,0.92,,4/23/24,
2.65,146.563,70,231,E374_L,1.84,,4/23/24,
0.72,132.333,76,191,C75_L,0.96,,4/23/24,
0.53,132.767,87,183,C75_R,0.82,,4/23/24,
2.15,164.021,97,189,E375_L,1.66,,4/23/24,
1.26,151.566,83,192,C76_L,1.27,,4/23/24,
0.46,138.97,93,203,C76_R,0.77,,4/23/24,
2.79,159.541,92,198,E376_L,1.88,,4/23/24,
1.73,163.289,110,186,D107_L,1.48,,4/23/24,
2.20,163.613,109,203,D107_R,1.67,,4/23/24,
2.64,151.689,74,243,E381_L,1.83,,4/23/24,
2.38,158.935,93,193,D108_L,1.74,,5/29/24,
1.85,160.53,97,187,D108_R,1.54,,4/23/24,
2.62,120.346,61,179,E384_L,1.83,,5/29/24,
3.10,168.588,92,198,D109_L,1.99,,4/23/24,
2.73,166.193,107,197,D109_R,1.86,,4/23/24,
2.75,143.814,70,179,E385_L,1.87,,4/23/24,
2.93,156.888,92,197,D110_L,1.93,,4/23/24,
2.94,170.023,99,199,D110_R,1.93,,4/23/24,
1.73,156.38,106,183,E386_L,1.49,,4/29/24,
3.20,171.309,102,190,D111_L,2.02,,4/29/24,
1.32,158.336,93,197,D111_R,1.30,,4/29/24,
3.29,128.975,73,194,E387_L,2.05,,5/29/24,
2.18,152.593,92,180,D112_L,1.67,,4/29/24,
2.39,154.184,82,182,D112_R,1.74,,4/29/24,
3.20,126.447,60,180,E388_L,2.02,,5/29/24,
2.21,161.701,99,185,B178_L,1.68,,4/29/24,
2.09,161.929,82,200,B178_R,1.63,,4/29/24,
2.30,154.438,89,187,E392_L,1.71,,4/29/24,
1.66,155.949,83,180,B179_L,1.45,,4/29/24,
2.25,132.698,69,178,B179_R,1.69,,4/29/24,
3.92,152.859,55,183,E393_L,2.24,Open,5/6/24,
2.98,165.561,83,196,B180_L,1.95,Open,5/6/24,
2.13,149.258,90,244,B180_R,1.65,,5/6/24,
2.12,148.017,92,236,E394_L,1.64,,5/6/24,
1.12,137.305,84,186,B181_L,1.20,,5/6/24,
1.58,138.344,73,177,B181_R,1.42,,5/6/24,
2.48,144.401,81,229,E395_L,1.78,,5/6/24,
1.83,149.684,89,193,B182_L,1.53,,5/6/24,
2.29,145.409,81,182,B182_R,1.71,,5/6/24,
2.81,167.736,109,190,E397_L,1.89,,5/6/24,
1.23,173.061,124,202,D114_L,1.25,,5/6/24,
1.39,162.224,114,196,D114_R,1.33,,5/6/24,
2.88,160.479,83,209,E398_L,1.91,,5/6/24,
2.80,153.257,83,191,B184_L,1.89,,5/6/24,
2.15,159.041,109,191,B184_R,1.65,,5/6/24,
2.40,151.032,83,204,E401_L,1.75,,5/6/24,
1.09,148.126,96,193,C79_L,1.18,,5/8/24,
1.13,135.819,70,189,C79_R,1.20,,5/8/24,
1.51,150.657,96,212,E402_L,1.39,,5/8/24,
